Command 	Test_program 	Args 	Type 	Exit_code 	Nanoseconds 	Microseconds 	Miliseconds 	Runtime_startup_time_miliseconds
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/return_0.exe  	return_0.exe 	 	native 	0 	975963 864213 836751 815231 899880 896945 951036 836441 848764 841720 824489 858733 917533 891394 867348 869974 909758 872158 858182 940717 889400 813067 896624 906032 821834 831922 796055 815953 811414 850787 855206 808809 904058 813968 888298 919667 890542 906763 805603 800914 817185 774204 864203 848242 855116 782870 878730 928654 881436 791025 798349 864293 896744 859965 931990 894300 848995 895862 953109 881325 836160 885653 829077 825530 815712 866457 970773 817194 784754 867218 890673 811514 775947 908366 801034 835419 895873 893709 785765 844436 863381 897275 780757 890141 777500 868320 855727 812285 820782 787259 834347 898728 792979 854355 783461 893788 814790 901874 850627 893899  	 975 864 836 815 899 896 951 836 848 841 824 858 917 891 867 869 909 872 858 940 889 813 896 906 821 831 796 815 811 850 855 808 904 813 888 919 890 906 805 800 817 774 864 848 855 782 878 928 881 791 798 864 896 859 931 894 848 895 953 881 836 885 829 825 815 866 970 817 784 867 890 811 775 908 801 835 895 893 785 844 863 897 780 890 777 868 855 812 820 787 834 898 792 854 783 893 814 901 850 893  	 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  	0
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/cpu_single_thread_no_op_loop.exe 1000000 	cpu_single_thread_no_op_loop.exe 	1000000 	native 	0 	1609302  	 1609  	 1  	0
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/prime_number.exe 919393 	prime_number.exe 	919393 	native 	0 	2757569  	 2757  	 2  	0
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/prime_number.exe 2147483647 	prime_number.exe 	2147483647 	native 	0 	4073280368  	 4073280  	 4073  	0
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/matrix_addition_single_multi.exe 10000 10 1 multi 	matrix_addition_single_multi.exe 	10000 10 1 multi 	native 	0 	1282989  	 1282  	 1  	0
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/cpu_multi_thread_no_op_loop.exe 1000000000 12 	cpu_multi_thread_no_op_loop.exe 	1000000000 12 	native 	0 	957600817  	 957600  	 957  	0
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/prime_number_multi.exe 2147483647 12 	prime_number_multi.exe 	2147483647 12 	native 	0 	8153106908  	 8153106  	 8153  	0
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/fibonnaci_multi.exe 999999999 12 	fibonnaci_multi.exe 	999999999 12 	native 	0 	2284869939  	 2284869  	 2284  	0
google-chrome --incognito 	return_0 	 	web_wasm 	0 	 	274.9999985098839 105.00000044703484 30.000001192092896 54.999999701976776 10.000001639127731 9.999997913837433 10.000001639127731 15.000000596046448 9.999997913837433 19.999999552965164 15.000000596046448 5.000002682209015 4.999998956918716 4.999998956918716 9.999997913837433 5.000002682209015 35.00000014901161 15.000000596046448 4.999998956918716 5.000002682209015 9.999997913837433 5.000002682209015 19.999999552965164 15.000000596046448 4.999998956918716 5.000002682209015 9.999997913837433 5.000002682209015 9.999997913837433 0 10.000001639127731 9.999997913837433 0 4.999998956918716 9.999997913837433 0 10.000001639127731 0 5.000002682209015 9.999997913837433 4.999998956918716 5.000002682209015 9.999997913837433 4.999998956918716 5.000002682209015 4.999998956918716 0 4.999998956918716 0 10.000001639127731 4.999998956918716 4.999998956918716 5.000002682209015 4.999998956918716 4.999998956918716 5.000002682209015 4.999998956918716 5.000002682209015 4.999998956918716 9.999997913837433 5.000002682209015 4.999998956918716 4.999998956918716 10.000001639127731 4.999998956918716 5.000002682209015 0 4.999998956918716 10.000001639127731 4.999998956918716 4.999998956918716 5.000002682209015 9.999997913837433 10.000001639127731 4.999998956918716 4.999998956918716 5.000002682209015 9.999997913837433 4.999998956918716 4.999998956918716 0 9.999997913837433 5.000002682209015 9.999997913837433 5.000002682209015 9.999997913837433 4.999998956918716 5.000002682209015 4.999998956918716 10.000001639127731 4.999998956918716 9.999997913837433 0 10.000001639127731 4.999998956918716 5.000002682209015 9.999997913837433 4.999998956918716 5.000002682209015 4.999998956918716 	0.2749999985098839 0.10500000044703484 0.030000001192092896 0.054999999701976776 0.010000001639127731 0.009999997913837433 0.010000001639127731 0.015000000596046448 0.009999997913837433 0.019999999552965164 0.015000000596046448 0.005000002682209015 0.004999998956918716 0.004999998956918716 0.009999997913837433 0.005000002682209015 0.03500000014901161 0.015000000596046448 0.004999998956918716 0.005000002682209015 0.009999997913837433 0.005000002682209015 0.019999999552965164 0.015000000596046448 0.004999998956918716 0.005000002682209015 0.009999997913837433 0.005000002682209015 0.009999997913837433 0 0.010000001639127731 0.009999997913837433 0 0.004999998956918716 0.009999997913837433 0 0.010000001639127731 0 0.005000002682209015 0.009999997913837433 0.004999998956918716 0.005000002682209015 0.009999997913837433 0.004999998956918716 0.005000002682209015 0.004999998956918716 0 0.004999998956918716 0 0.010000001639127731 0.004999998956918716 0.004999998956918716 0.005000002682209015 0.004999998956918716 0.004999998956918716 0.005000002682209015 0.004999998956918716 0.005000002682209015 0.004999998956918716 0.009999997913837433 0.005000002682209015 0.004999998956918716 0.004999998956918716 0.010000001639127731 0.004999998956918716 0.005000002682209015 0 0.004999998956918716 0.010000001639127731 0.004999998956918716 0.004999998956918716 0.005000002682209015 0.009999997913837433 0.010000001639127731 0.004999998956918716 0.004999998956918716 0.005000002682209015 0.009999997913837433 0.004999998956918716 0.004999998956918716 0 0.009999997913837433 0.005000002682209015 0.009999997913837433 0.005000002682209015 0.009999997913837433 0.004999998956918716 0.005000002682209015 0.004999998956918716 0.010000001639127731 0.004999998956918716 0.009999997913837433 0 0.010000001639127731 0.004999998956918716 0.005000002682209015 0.009999997913837433 0.004999998956918716 0.005000002682209015 0.004999998956918716 	44.99000000208616
google-chrome --incognito 	cpu_single_thread_no_op_loop 	1000000 	web_wasm 	0 	 	3475.000001490116 785.0000001490116 	3.475000001490116 0.7850000001490116 	87.875
