Command,Alias,Test_program,Args,Type,Exit_code,Runtime_startup_time_miliseconds,Mean_miliseconds,Median_miliseconds,Std_miliseconds,Miliseconds_max,Miliseconds_min,Mean_microseconds,Median_microseconds,Std_microseconds,Microseconds_max,Microseconds_min,Number_of_executions,Index
unshare -muinpUCT --fork --map-current-user -R /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir /return_0.exe,unshare,return_0,,container,0,0.0,1.0151515151515151,1.0,0.12246506711167589,2.0,1.0,1704.3383838383838,1695.0,92.4593566432154,2292.0,1492.0,200,0
"unshare -muinpUCT --fork --map-root-user setpriv --nnp --securebits +noroot,+noroot_locked,+no_setuid_fixup_locked,+keep_caps_locked /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/return_0.exe",unshare+setpriv,return_0,,container,0,0.0,1.7222222222222223,2.0,0.4711053112903751,4.0,1.0,2066.969696969697,2063.5,140.32391495223442,4417.0,1824.0,200,1
setpriv --nnp unshare -muinpUCT --fork --map-current-user -R /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir /return_0.exe,setpriv+unshare,return_0,,container,0,0.0,1.6818181818181819,2.0,0.47769829621405857,3.0,1.0,2054.919191919192,2032.5,159.78533675841007,3967.0,1814.0,200,2
podman run --rm -ti --volume /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir:/ --entrypoint /return_0.exe empty_container,podman,return_0,,container,0,0.0,343.5151515151515,254.0,234.79546617594417,1664.0,232.0,343996.095959596,254559.0,234780.06884579107,1664437.0,232054.0,200,3
bwrap --new-session --unshare-all --cap-drop all --ro-bind /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir / /return_0.exe,bwrap,return_0,,container,0,0.0,2.005050505050505,2.0,0.07106690545187015,5.0,2.0,2406.181818181818,2403.0,107.65996136891664,5978.0,2138.0,200,4
systemd-run --user --wait --collect -p 'NoNewPrivileges=true' -p 'MemoryDenyWriteExecute=true' -p 'PrivateUsers=true' -p 'SecureBits=keep-caps-locked no-setuid-fixup-locked noroot noroot-locked' -p 'CapabilityBoundingSet=' -p 'AmbientCapabilities=' /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/return_0.exe,systemd-run,return_0,,container,0,0.0,4.9646464646464645,5.0,0.2107820253142086,31.0,4.0,5275.141414141414,5262.5,160.29902324980912,31388.0,4860.0,200,5
systemd-run --user --wait --collect -p 'SystemCallFilter=rt_sigaction uname arch_prctl mmap execve rseq rt_sigprocmask prlimit64 brk ioctl mprotect set_robust_list write munmap readlink futex madvise clone3 set_tid_address getrandom newfstatat exit_group exit' -p 'NoNewPrivileges=true' -p 'MemoryDenyWriteExecute=true' -p 'PrivateUsers=true' -p 'SecureBits=keep-caps-locked no-setuid-fixup-locked noroot noroot-locked' -p 'CapabilityBoundingSet=' -p 'AmbientCapabilities=' /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/return_0.exe,systemd-run(seccomp),return_0,,container,0,0.0,5.98989898989899,6.0,0.10024837124891763,6.0,5.0,6336.338383838384,6310.5,180.74078148776007,6984.0,5907.0,200,6
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/return_0.exe,return_0.exe,return_0,,native,0,0.0,0.0,0.0,0.0,0.0,0.0,824.9747474747475,822.5,47.201956948664986,976.0,721.0,200,7
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/seccomp/exec_program_seccomp --unshare all --apparmor-profile-exec restricted_native_web_app --fork --host-filesystem --no-seccomp /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/return_0.exe,LLC,return_0,,custom_container,0,0.0,1.0101010101010102,1.0,0.10024837124891761,2.0,1.0,1824.5252525252524,1820.0,93.15843645602277,2448.0,1602.0,200,8
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/seccomp/exec_program_seccomp --unshare all --apparmor-profile-exec restricted_native_web_app --fork --no-seccomp --pivot-root /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir /return_0.exe,LLC(pivot-root),return_0,,custom_container,0,0.0,1.2171717171717171,1.0,0.45986985668158986,4.0,1.0,1939.2373737373737,1919.0,203.49773746773957,4570.0,1652.0,200,9
