Command	Test program	Args	Test type	time - real	time - user	time - sys	/usr/bin/time - Command being timed	/usr/bin/time - User time (seconds)	/usr/bin/time - System time (seconds)	/usr/bin/time - Percent of CPU this job got	/usr/bin/time - Elapsed (wall clock) time (h:mm:ss or m:ss)	/usr/bin/time - Average shared text size (kbytes)	/usr/bin/time - Average unshared data size (kbytes)	/usr/bin/time - Average stack size (kbytes)	/usr/bin/time - Average total size (kbytes)	/usr/bin/time - Maximum resident set size (kbytes)	/usr/bin/time - Average resident set size (kbytes)	/usr/bin/time - Major (requiring I/O) page faults	/usr/bin/time - Minor (reclaiming a frame) page faults	/usr/bin/time - Voluntary context switches	/usr/bin/time - Involuntary context switches	/usr/bin/time - Swaps	/usr/bin/time - File system inputs	/usr/bin/time - File system outputs	/usr/bin/time - Socket messages sent	/usr/bin/time - Socket messages received	/usr/bin/time - Signals delivered	/usr/bin/time - Page size (bytes)	/usr/bin/time - Exit status	date +%s%N -  nanoseconds	date +%s%N -  picoseconds	date +%s%N -  miliseconds	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/return_0.exe	return_0.exe		native	0m0.000s	0m0.000s	0m0.000s	/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/return_0.exe	0.00	0.00	80%	0:00.00	0	0	0	0	760	0	0	39	10	0	0	0	0	0	0	0	4096	0	849104ns 	849us 	0ms	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/cpu_single_thread_no_op_loop.exe 1000000	cpu_single_thread_no_op_loop.exe	1000000	native	0m0.001s	0m0.001s	0m0.000s	/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/cpu_single_thread_no_op_loop.exe 1000000	0.00	0.00	92%	0:00.00	0	0	0	0	1524	0	0	57	10	0	0	0	0	0	0	0	4096	0	1340256ns 	1340us 	1ms	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/prime_number.exe 919393	prime_number.exe	919393	native	0m0.002s	0m0.002s	0m0.000s	/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/prime_number.exe 919393	0.00	0.00	100%	0:00.00	0	0	0	0	1524	0	0	58	10	0	0	0	0	0	0	0	4096	0	2598680ns 	2598us 	2ms	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/prime_number.exe 2147483647	prime_number.exe	2147483647	native	0m4.073s	0m4.072s	0m0.000s	/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/prime_number.exe 2147483647	4.07	0.00	100%	0:04.07	0	0	0	0	1524	0	0	57	13	8	0	0	0	0	0	0	4096	0	4074091897ns 	4074091us 	4074ms	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/matrix_addition_single_multi.exe 10000 10 1 multi	matrix_addition_single_multi.exe	10000 10 1 multi	native	0m0.001s	0m0.001s	0m0.000s	/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/matrix_addition_single_multi.exe 10000 10 1 multi	0.00	0.00	127%	0:00.00	0	0	0	0	1648	0	0	100	20	1	0	0	0	0	0	0	4096	0	988497ns 	988us 	0ms	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/cpu_multi_thread_no_op_loop.exe 1000000000 12	cpu_multi_thread_no_op_loop.exe	1000000000 12	native	0m0.959s	0m11.280s	0m0.036s	/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/cpu_multi_thread_no_op_loop.exe 1000000000 12	11.28	0.03	1181%	0:00.95	0	0	0	0	1588	0	0	72	15	317	0	0	0	0	0	0	4096	0	961462749ns 	961462us 	961ms	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/prime_number_multi.exe 2147483647 12	prime_number_multi.exe	2147483647 12	native	0m8.193s	1m36.708s	0m0.012s	/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/prime_number_multi.exe 2147483647 12	96.74	0.00	1181%	0:08.18	0	0	0	0	1580	0	0	71	16	2598	0	0	0	0	0	0	4096	0	8187687270ns 	8187687us 	8187ms	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/fibonnaci_multi.exe 999999999 12	fibonnaci_multi.exe	999999999 12	native	0m2.291s	0m27.217s	0m0.000s	/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/fibonnaci_multi.exe 999999999 12	27.18	0.00	1186%	0:02.29	0	0	0	0	1580	0	0	71	18	746	0	0	0	0	0	0	4096	0	2300431382ns 	2300431us 	2300ms	


