Alias,Test_program,Mean_miliseconds,Mean_microseconds
LLC,linear_search,720,720697
LLC(pivot-root),linear_search,722,722534
LLC(seccomp),linear_search,1702,1702851
LLC,bubble_sort,13566,13567051
LLC(pivot-root),bubble_sort,13546,13546756
LLC(seccomp),bubble_sort,45551,45551751
LLC,prime_number,12556,12556895
LLC(pivot-root),prime_number,12555,12556468
LLC(seccomp),prime_number,13403,13403896
LLC,prime_number_multi,12584,12585470
LLC(pivot-root),prime_number_multi,12587,12587680
LLC(seccomp),prime_number_multi,13066,13066869
LLC,matrix_addition_multi,171,171833
LLC(pivot-root),matrix_addition_multi,174,175119
LLC(seccomp),matrix_addition_multi,382,383162
LLC,fibonnaci_multi,12957,12957937
LLC(pivot-root),fibonnaci_multi,12936,12937264
LLC(seccomp),fibonnaci_multi,44424,44424848
LLC,single_thread_no_op_loop,6216,6216918
LLC(pivot-root),single_thread_no_op_loop,6201,6201988
LLC(seccomp),single_thread_no_op_loop,20298,20298588
LLC,multi_thread_no_op_loop,5674,5674977
LLC(pivot-root),multi_thread_no_op_loop,5674,5675336
LLC(seccomp),multi_thread_no_op_loop,19129,19130045
