Alias,Test_program,Mean_miliseconds,Mean_microseconds
linear_search.exe,linear_search,718,718502
LLC,linear_search,720,720697
LLC(pivot-root),linear_search,722,722534
LLC(seccomp),linear_search,1702,1702851
bubble_sort.exe,bubble_sort,13581,13582057
LLC,bubble_sort,13566,13567051
LLC(pivot-root),bubble_sort,13546,13546756
LLC(seccomp),bubble_sort,45551,45551751
prime_number.exe,prime_number,12556,12556552
LLC,prime_number,12556,12556895
LLC(pivot-root),prime_number,12555,12556468
LLC(seccomp),prime_number,13403,13403896
prime_number_multi.exe,prime_number_multi,12579,12579699
LLC,prime_number_multi,12584,12585470
LLC(pivot-root),prime_number_multi,12587,12587680
LLC(seccomp),prime_number_multi,13066,13066869
matrix_addition_multi.exe,matrix_addition_multi,172,172831
LLC,matrix_addition_multi,171,171833
LLC(pivot-root),matrix_addition_multi,174,175119
LLC(seccomp),matrix_addition_multi,382,383162
fibonnaci_multi.exe,fibonnaci_multi,12949,12949550
LLC,fibonnaci_multi,12957,12957937
LLC(pivot-root),fibonnaci_multi,12936,12937264
LLC(seccomp),fibonnaci_multi,44424,44424848
single_thread_no_op_loop.exe,single_thread_no_op_loop,6204,6204425
LLC,single_thread_no_op_loop,6216,6216918
LLC(pivot-root),single_thread_no_op_loop,6201,6201988
LLC(seccomp),single_thread_no_op_loop,20298,20298588
multi_thread_no_op_loop.exe,multi_thread_no_op_loop,5673,5673628
LLC,multi_thread_no_op_loop,5674,5674977
LLC(pivot-root),multi_thread_no_op_loop,5674,5675336
LLC(seccomp),multi_thread_no_op_loop,19129,19130045
chrome,linear_search,432,432542
chrome,bubble_sort,15587,15587890
chrome,prime_number,12559,12559268
chrome,prime_number_multi,18896,18896572
chrome,matrix_addition_multi,141,141693
chrome,fibonnaci_multi,20757,20757950
chrome,single_thread_no_op_loop,6049,6049501
chrome,multi_thread_no_op_loop,9124,9124384
chromium,linear_search,1429,1429368
chromium,bubble_sort,42143,42143015
chromium,prime_number,15041,15041295
chromium,prime_number_multi,20228,20228473
chromium,matrix_addition_multi,300,300305
chromium,fibonnaci_multi,50090,50090129
chromium,single_thread_no_op_loop,23673,23673423
chromium,multi_thread_no_op_loop,25665,25665074
firefox,linear_search,1714,1714702
firefox,bubble_sort,49609,49609567
firefox,prime_number,15665,15665905
firefox,prime_number_multi,21532,21532095
firefox,matrix_addition_multi,327,327257
firefox,fibonnaci_multi,50053,50053057
firefox,single_thread_no_op_loop,29805,29805400
firefox,multi_thread_no_op_loop,28860,28860094
