Alias,Test_program,Mean_miliseconds,Mean_microseconds
chrome,linear_search,432,432542
chrome,bubble_sort,15587,15587890
chrome,prime_number,12559,12559268
chrome,prime_number_multi,18896,18896572
chrome,matrix_addition_multi,141,141693
chrome,fibonnaci_multi,20757,20757950
chrome,single_thread_no_op_loop,6049,6049501
chrome,multi_thread_no_op_loop,9124,9124384
chromium,linear_search,1429,1429368
chromium,bubble_sort,42143,42143015
chromium,prime_number,15041,15041295
chromium,prime_number_multi,20228,20228473
chromium,matrix_addition_multi,300,300305
chromium,fibonnaci_multi,50090,50090129
chromium,single_thread_no_op_loop,23673,23673423
chromium,multi_thread_no_op_loop,25665,25665074
firefox,linear_search,1714,1714702
firefox,bubble_sort,49609,49609567
firefox,prime_number,15665,15665905
firefox,prime_number_multi,21532,21532095
firefox,matrix_addition_multi,327,327257
firefox,fibonnaci_multi,50053,50053057
firefox,single_thread_no_op_loop,29805,29805400
firefox,multi_thread_no_op_loop,28860,28860094
